name	objID	ra	dec	run	rerun	camcol	field	type	modelMag_u	modelMag_g	modelMag_r	modelMag_i	modelMag_z
IC0598	1237660635994259485	153.20237184	43.14553824	3530	301	4	236	GALAXY	15.111335	13.487899	12.815198	12.454549	12.208678
IC0719	1237660612902125601	175.07710811	9.00988423	3525	301	1	134	GALAXY	15.12019	13.518131	12.702694	12.275531	11.964417
IC3631	1237661817632915494	189.95006942	12.97396901	3805	301	5	19	GALAXY	15.139513	13.850178	13.414719	13.154639	13.027324
NGC0448	1237657067403935758	18.81887478	-1.62623102	2699	301	5	93	GALAXY	14.899624	13.086327	12.282779	11.834913	11.559386
NGC0524	1237678833223335968	21.19892987	9.53889976	7767	301	3	76	GALAXY	13.485859	11.50663	10.470695	9.963035	9.547901
NGC0525	1237678906791690347	21.22050861	9.70338418	7784	301	4	336	GALAXY	15.879991	14.107666	13.278489	12.845289	12.503489
NGC0661	1237680285461184530	26.06084865	28.70587095	8105	301	4	107	GALAXY	14.647097	12.741787	11.89449	11.488396	11.191611
NGC0936	1237663275796463624	36.90609488	-1.15601701	4145	301	1	357	GALAXY	13.249393	11.30883	10.458772	10.015966	9.768208
NGC1121	1237678881039253588	42.6632954	-1.73407925	7778	301	4	601	GALAXY	15.865028	13.901467	13.030238	12.556109	12.267623
NGC2481	1237660343387816017	119.30728414	23.76782657	3462	301	3	56	GALAXY	15.189366	13.288498	12.364193	11.887409	11.586532
NGC2549	1237663917342392441	124.74305675	57.80315341	4294	301	4	131	GALAXY	13.966357	11.996771	11.163879	12.09905	10.433368
NGC2592	1237661086957568112	126.78353444	25.97030928	3635	301	4	110	GALAXY	14.920654	12.97249	12.118324	11.662604	11.35591
NGC2594	1237661086957568064	126.82149045	25.87882178	3635	301	4	110	GALAXY	15.833891	14.124875	13.269993	12.875339	12.553633
NGC2685	1237663529725788240	133.8944819	58.73453921	4204	301	2	195	GALAXY	13.845435	12.04392	11.203431	10.781576	10.508097
NGC2764	1237667254533554264	137.07277725	21.44334385	5071	301	4	155	GALAXY	14.512592	13.204214	12.537151	12.183823	11.865937
NGC2778	1237664871895924902	138.10154909	35.02754061	4516	301	6	86	GALAXY	14.949284	13.04832	12.247246	11.83532	11.59202
NGC2824	1237665128526643233	139.75925799	26.26997555	4576	301	4	184	GALAXY	15.539792	13.836289	13.031806	12.614717	12.337138
NGC2859	1237661384381366483	141.07719973	34.51354279	3704	301	6	69	GALAXY	13.724734	11.820252	11.018866	10.600831	10.328247
NGC2950	1237651250953715796	145.64628438	58.85135744	1345	301	3	234	GALAXY	13.482354	11.645201	10.903049	10.500616	10.230484
NGC2962	1237658423010525192	145.2247176	5.16581661	3015	301	2	208	GALAXY	14.892717	12.808988	11.882136	11.414547	11.090137
NGC3073	1237655108906582202	150.21691701	55.61889531	2243	301	5	211	GALAXY	15.056873	13.688142	13.214782	12.939793	12.763388
NGC3098	1237667210515906579	150.56954825	24.7110999	5061	301	2	243	GALAXY	14.491302	12.81308	12.044536	11.58267	11.315213
NGC3182	1237654381445972012	154.88760657	58.20579035	2074	301	2	203	GALAXY	14.876975	12.838597	12.061613	11.684641	11.472948
NGC3193	1237667541755625492	154.60382661	21.89398963	5138	301	3	96	GALAXY	13.47559	11.616833	10.80736	10.361294	10.140687
NGC3230	1237664105244327956	155.93318532	12.56782331	4338	301	2	87	GALAXY	14.882836	12.822851	11.827174	11.383973	11.148221
NGC3245	1237667287812341843	156.82669699	28.50743675	5079	301	2	45	GALAXY	13.585404	11.637381	10.751262	10.367764	10.041724
NGC3522	1237668294982631441	166.66858683	20.08553961	5313	301	6	52	GALAXY	15.196706	13.468513	12.752154	12.406537	12.20273
NGC3595	1237660637073113145	168.85643262	47.44707774	3530	301	6	314	GALAXY	14.701426	12.884051	12.094051	11.708941	11.428773
NGC3610	1237655107837624356	169.60528256	58.78635371	2243	301	3	284	GALAXY	13.026162	11.29935	10.608148	10.246354	10.040982
NGC3694	1237665026511142935	172.22553202	35.41400146	4552	301	6	31	GALAXY	15.037304	13.737044	13.037757	12.715091	12.428458
