IC0598,153.202423,43.145546,0,0,0,2256,35.3,-22.60,0.06,-0.1,1.02
IC0719,175.077042,9.009861,0,0,0,1833,29.4,-22.70,0.22,-2.0,1.10
NGC0448,18.818876,-1.626105,1,1,0,1908,29.5,-23.02,0.26,-2.5,1.05
NGC0524,21.198778,9.538793,1,10,0,2403,23.3,-24.71,0.36,-1.2,1.64
NGC0525,21.220442,9.703240,0,0,0,2139,30.7,-21.86,0.38,-2.0,1.06
NGC0661,26.060976,28.705988,0,1,0,3815,30.6,-23.19,0.30,-4.4,1.12
NGC0936,36.906090,-1.156280,1,4,0,1429,22.4,-24.85,0.15,-1.2,1.72
NGC1121,42.663387,-1.734040,0,0,0,2558,35.3,-22.70,0.29,-1.8,0.87
NGC2481,119.307182,23.767693,0,0,0,2157,32.0,-23.38,0.28,0.4,1.02
NGC2549,124.743111,57.803108,1,1,0,1051,12.3,-22.43,0.28,-2.0,1.28
NGC2592,126.783669,25.970339,1,1,0,1979,25.0,-22.88,0.25,-4.8,1.09
NGC2594,126.821609,25.878935,0,0,0,2362,35.1,-22.36,0.24,0.0,0.82
NGC2685,133.894791,58.734409,0,0,0,875,16.7,-22.78,0.27,-1.0,1.41
NGC2764,137.072983,21.443447,0,0,0,2706,39.6,-23.19,0.17,-2.0,1.09
NGC2778,138.101639,35.027424,1,1,0,2025,22.3,-22.23,0.09,-4.8,1.20
NGC2824,139.759277,26.269999,0,0,0,2758,40.7,-22.93,0.14,-2.0,0.86
NGC2859,141.077286,34.513378,0,0,0,1690,27.0,-24.13,0.09,-1.2,1.43
NGC2950,145.646317,58.851219,1,1,0,1322,14.5,-22.93,0.07,-2.0,1.19
NGC2962,145.224609,5.165820,0,3,0,1967,34.0,-24.01,0.25,-1.1,1.39
NGC3073,150.216843,55.618935,1,1,0,1173,32.8,-21.78,0.05,-2.8,1.13
NGC3098,150.569458,24.711092,0,0,0,1397,23.0,-22.72,0.16,-1.5,1.12
