name ra dec
IC0560 146.472656 -0.268221
IC1024 217.863419 3.009107
NGC0502 20.731415 9.049169
NGC0680 27.447035 21.970827
NGC0770 29.80685 18.954695
NGC1665 72.071098 -5.427655
NGC2577 125.681137 22.55304
NGC2679 132.887192 30.865419
NGC2699 133.953415 -3.127507
NGC2768 137.906265 60.037209
NGC2852 140.810684 40.163879
NGC2880 142.394241 62.49062
NGC3032 148.034119 29.236279
NGC3156 153.171692 3.12932
NGC3226 155.862549 19.898439
NGC3248 156.93927 22.84717
NGC3301 159.233459 21.882166
NGC3377 161.926666 13.98564
NGC3379 161.956665 12.58163
NGC3384 162.070404 12.6293
NGC3400 162.68959 28.468929
NGC3412 162.722137 13.412142
NGC3457 163.702591 17.621157
NGC3458 164.006042 57.11697
NGC3499 165.79628 56.221664
NGC3599 168.862305 18.110369
NGC3605 169.19426 18.017141
NGC3607 169.227737 18.051809
NGC3608 169.245697 18.148531
NGC3613 169.650543 57.999924
NGC3619 169.840088 57.757683
NGC3626 170.015808 18.356791
NGC3630 170.070786 2.96417
NGC3641 170.286621 3.194489
NGC3648 170.631195 39.876972
NGC3658 170.992706 38.562424
NGC3674 171.61087 57.04829
NGC3796 175.129776 60.298958
NGC3838 176.057205 57.948101
NGC3945 178.30719 60.67556
NGC3998 179.484039 55.453564
NGC4026 179.85495 50.961689
NGC4036 180.362045 61.895699
NGC4111 181.763031 43.065392
NGC4119 182.040176 10.37872
NGC4143 182.40036 42.534218
NGC4150 182.640228 30.401487
NGC4179 183.217087 1.299673
NGC4191 183.459915 7.200842
NGC4203 183.770935 33.197243
NGC4255 184.7341 4.785923
NGC4259 184.842468 5.376242
NGC4261 184.846924 5.82471
NGC4262 184.877426 14.877717
NGC4264 184.899078 5.846804
NGC4267 184.938675 12.798356
NGC4268 184.946762 5.28365
NGC4270 184.955978 5.463371
NGC4278 185.02832 29.280619
NGC4281 185.089691 5.38643
NGC4283 185.086609 29.310898
NGC4324 185.775726 5.250488
NGC4339 185.895599 6.081713
NGC4340 185.897141 16.722195
NGC4342 185.912598 7.053936
NGC4346 185.866425 46.993881
NGC4350 185.990891 16.693356
NGC4365 186.117615 7.31752
NGC4371 186.230957 11.704288
NGC4374 186.265747 12.88696
NGC4377 186.301285 14.762218
NGC4379 186.311386 15.607498
NGC4382 186.35022 18.19108
NGC4387 186.423813 12.810359
NGC4406 186.549225 12.94597
NGC4417 186.710938 9.584117
NGC4425 186.805664 12.734803
NGC4429 186.860657 11.10754
NGC4434 186.902832 8.154311
NGC4435 186.918762 13.079021
NGC4442 187.01622 9.80362
NGC4452 187.180417 11.755
NGC4458 187.239716 13.241916
NGC4459 187.250107 13.97858
NGC4461 187.262543 13.183857
NGC4472 187.444992 8.00041
NGC4473 187.453659 13.42932
NGC4474 187.473099 14.068673
NGC4476 187.49617 12.348669
NGC4477 187.509048 13.636443
NGC4478 187.572662 12.328578
NGC4483 187.66925 9.015665
NGC4486 187.705933 12.3911
NGC4486A 187.74054 12.270361
NGC4489 187.717667 16.758696
NGC4494 187.850143 25.774981
NGC4503 188.025803 11.176434
NGC4526 188.512619 7.69914
NGC4528 188.525269 11.321266
NGC4546 188.87294 -3.793227
NGC4550 188.877548 12.220955
NGC4551 188.908249 12.26401
NGC4552 188.916183 12.55604
NGC4564 189.112473 11.43932
NGC4570 189.222504 7.246663
NGC4578 189.377274 9.555121
NGC4596 189.983063 10.176031
NGC4608 190.305374 10.155793
NGC4612 190.38649 7.314782
NGC4621 190.509674 11.64693
NGC4623 190.544601 7.676934
NGC4624 191.274826 3.055684
NGC4636 190.707779 2.68778
NGC4638 190.697632 11.442459
NGC4649 190.916702 11.55261
NGC4660 191.133209 11.190533
NGC4694 192.062881 10.983624
NGC4710 192.412323 15.16549
NGC4733 192.778259 10.912103
NGC4753 193.092133 -1.19969
NGC4754 193.073181 11.31366
NGC4762 193.233536 11.2308
NGC5173 202.105301 46.591572
NGC5198 202.547546 46.67083
NGC5308 206.751633 60.973038
NGC5342 207.85791 59.863014
NGC5353 208.36142 40.283123
NGC5355 208.43985 40.338795
NGC5358 208.501801 40.27742
NGC5379 208.893112 59.742825
NGC5422 210.175262 55.164478
NGC5507 213.332825 -3.14886
NGC5576 215.265381 3.271049
NGC5631 216.638687 56.582664
NGC5638 217.418289 3.233443
NGC5687 218.718201 54.475685
NGC5831 226.029266 1.219917
NGC5838 226.359467 2.099356
NGC5839 226.364471 1.634633
NGC5845 226.503281 1.633824
NGC5854 226.948853 2.56856
NGC5864 227.389786 3.052741
NGC5866 226.623169 55.763309
NGC5869 227.456055 0.469967
PGC016060 72.143387 -3.867104
PGC028887 149.93129 11.660812
PGC029321 151.463226 12.961213
PGC054452 228.89418 2.248187
IC0610 156.618179 20.228252
IC1029 218.113373 49.904766
IC1048 220.74115 4.890127
IC1066 223.26178 3.295883
IC1067 223.271805 3.331717
IC2098 72.684601 -5.418544
IC3061 183.768829 14.028975
IC3102 184.357605 6.689988
IC3392 187.180405 14.999414
IC4336 207.680878 39.706844
NGC0488 20.4452 5.25672
NGC0489 20.474596 9.206488
NGC0518 21.073431 9.330955
NGC0522 21.191061 9.994623
NGC0532 21.322283 9.264087
NGC0972 38.555771 29.311243
NGC1056 40.701195 28.574266
NGC1321 51.202389 -3.015633
NGC2357 109.420753 23.356743
NGC2543 123.241478 36.254509
NGC2648 130.665939 14.285502
NGC2742 136.889694 60.47929
NGC2770 137.390091 33.123413
NGC2776 138.060547 44.954895
NGC2782 138.521332 40.1138
NGC2785 138.813858 40.917648
NGC2856 141.066696 49.2491
NGC2906 143.026031 8.441907
NGC2967 145.513885 0.336484
NGC3003 147.150208 33.42149
NGC3023 147.469315 0.617879
NGC3067 149.587738 32.369991
NGC3079 150.491348 55.68
NGC3107 151.093643 13.62132
NGC3190 154.523514 21.83194
NGC3227 155.877533 19.86495
NGC3287 158.697113 21.648331
NGC3346 160.912033 14.871983
NGC3351 160.990555 11.70361
NGC3368 161.690598 11.81994
NGC3395 162.458817 32.982838
NGC3396 162.479691 32.990608
NGC3424 162.943008 32.900677
NGC3430 163.047562 32.950424
NGC3501 165.697113 17.989532
NGC3512 166.012451 28.036831
NGC3596 168.775925 14.787126
NGC3625 170.130234 57.781326
NGC3627 170.062607 12.99129
NGC3628 170.070908 13.58949
NGC3631 170.262268 53.16943
NGC3642 170.575058 59.074242
NGC3652 170.662735 37.765038
NGC3655 170.727524 16.590174
NGC3669 171.361725 57.721165
NGC3681 171.624176 16.863222
NGC3683 171.882874 56.876709
NGC3684 171.796555 17.03031
NGC3686 171.93309 17.224058
NGC3689 172.045853 25.661039
NGC3718 173.145584 53.067829
NGC3726 173.338226 47.029091
NGC3729 173.455505 53.125496
NGC3755 174.139008 36.410301
NGC3756 174.19989 54.293682
NGC3769 174.433777 47.893093
NGC3780 174.843216 56.270725
NGC3786 174.926971 31.909365
NGC3788 174.935822 31.931305
NGC3810 175.244736 11.471132
NGC3813 175.327728 36.5467
NGC3877 176.532425 47.494499
NGC3898 177.314041 56.084351
NGC3900 177.289307 27.022076
NGC3917 177.689529 51.824211
NGC3938 178.206055 44.120731
