name ra dec
IC0598 153.202423 43.145546
IC0719 175.077042 9.009861
IC3631 189.950195 12.973927
NGC0448 18.818876 -1.626105
NGC0524 21.198778 9.538793
NGC0525 21.220442 9.70324
NGC0661 26.060976 28.705988
NGC0821 32.088123 10.99487
NGC0936 36.90609 -1.15628
NGC1023 40.100052 39.063251
NGC1121 42.663387 -1.73404
NGC1222 47.236446 -2.955212
NGC1266 49.00312 -2.42737
NGC2481 119.307182 23.767693
NGC2549 124.743111 57.803108
NGC2592 126.783669 25.970339
NGC2594 126.821609 25.878935
NGC2685 133.894791 58.734409
NGC2695 133.612778 -3.067101
NGC2764 137.072983 21.443447
NGC2778 138.101639 35.027424
NGC2824 139.759277 26.269999
NGC2859 141.077286 34.513378
NGC2950 145.646317 58.851219
NGC2962 145.224609 5.16582
NGC2974 145.638611 -3.699116
NGC3073 150.216843 55.618935
NGC3098 150.569458 24.711092
NGC3182 154.887558 58.205818
NGC3193 154.603683 21.893978
NGC3230 155.93309 12.567883
NGC3245 156.826523 28.507435
NGC3522 166.668549 20.085621
NGC3595 168.856461 47.447147
NGC3610 169.605316 58.786247
NGC3694 172.225571 35.413857
NGC3941 178.230667 36.986378
NGC4078 181.198456 10.595537
NGC4168 183.071808 13.205354
NGC4233 184.282043 7.624434
NGC4251 184.534607 28.175299
NGC4521 188.198853 63.939293
NGC4690 191.981323 -1.655975
NGC4697 192.149612 -5.80085
NGC4803 193.890289 8.240547
NGC5103 200.125229 43.084015
NGC5273 205.534943 35.65424
NGC5473 211.180176 54.89262
NGC5475 211.301437 55.741802
NGC5481 211.671722 50.72332
NGC5485 211.797134 55.001518
NGC5493 212.872421 -5.043663
NGC5557 214.607117 36.49369
NGC5582 215.179703 39.693584
NGC5611 216.019897 33.047501
NGC5770 223.312653 3.959721
NGC5813 225.296936 1.70197
NGC6010 238.579773 0.543033
NGC6014 238.989105 5.931838
NGC6017 239.314529 5.998364
NGC6278 255.209763 23.010956
NGC6547 271.291748 25.232645
NGC6548 271.496826 18.587217
NGC6703 281.828522 45.550648
NGC6798 291.013306 53.624752
NGC7280 336.614899 16.148266
NGC7332 339.352173 23.798351
NGC7454 345.27713 16.388371
NGC7693 353.293671 -1.29201
NGC7710 353.942261 -2.880941
PGC042549 190.316513 -5.009177
PGC044433 194.57811 13.391409
PGC050395 211.913544 54.794575
PGC056772 240.54834 7.085953
PGC058114 246.517838 2.90655
PGC061468 272.360748 19.117682
PGC071531 352.121338 19.863962
PGC170172 176.73172 -5.187745
UGC03960 115.094856 23.275089
UGC04551 131.024582 49.793968
UGC05408 150.966095 59.436138
UGC06062 164.656662 9.050468
UGC06176 166.852753 21.657185
UGC08876 209.241943 45.973179
UGC09519 221.588028 34.370651
IC0065 15.230966 47.681984
IC0239 39.11625 38.97
IC0750 179.717606 42.722404
IC0777 184.849228 28.309881
IC0800 188.486313 15.354542
IC0851 197.143127 21.049742
IC0902 204.005051 49.96072
IC1151 239.634705 17.441553
IC1158 240.391968 1.707832
IC1265 264.164398 42.088383
IC1447 337.499146 -5.119929
IC1596 13.678428 21.522646
IC1711 22.73028 17.188482
IC2166 96.731789 59.080109
IC2327 125.366501 3.169287
IC2461 139.991791 37.191048
IC4582 236.414215 28.088715
IC5334 353.651733 -4.534227
NGC0063 4.43969 11.450358
NGC0278 13.017918 47.550537
NGC0428 18.232122 0.981581
NGC0473 19.979469 16.544645
NGC0493 20.537439 0.945335
NGC0514 21.01627 12.917349
NGC0573 22.705626 41.257317
NGC0620 24.248648 42.323357
NGC0628 24.174049 15.78346
NGC0660 25.75979 13.64568
NGC0678 27.35358 21.997299
NGC0693 27.628531 6.14521
NGC0718 28.305481 4.195917
NGC0779 29.927605 -5.964152
NGC0803 30.936255 16.03096
NGC0864 33.86517 6.00262
NGC0891 35.639167 42.349167
NGC0895 35.401958 -5.521394
NGC0918 36.461667 18.496111
NGC0925 36.820469 33.57888
NGC0955 37.637962 -1.108482
NGC1012 39.812347 30.151669
NGC1015 39.548187 -1.318618
NGC1032 39.848667 1.093801
NGC1068 40.66988 -0.01329
NGC1073 40.919159 1.37587
NGC1090 41.641315 -0.247042
NGC1134 43.422256 13.014126
NGC1253 48.537689 -2.82295
NGC1320 51.202942 -3.042299
NGC1637 70.367622 -2.85804
NGC1924 82.008209 -5.310648
NGC2273 102.536095 60.845695
NGC2273A 100.029358 60.080662
NGC2344 108.119598 47.166794
NGC2365 110.593948 22.08326
NGC2460 119.217789 60.349377
NGC2644 130.382904 4.980223
NGC2681 133.386414 51.313709
NGC2683 133.172272 33.421799
NGC2690 133.158508 -2.603258
NGC2701 134.773834 53.771755
NGC2710 134.951416 55.70644
NGC2712 134.876907 44.914001
NGC2722 134.692398 -3.710102
NGC2726 136.236908 59.932968
NGC2731 135.534973 8.301766
NGC2735 135.66098 25.934587
NGC2750 136.449554 25.437365
NGC2753 136.784286 25.342352
NGC2775 137.583801 7.037924
NGC2841 140.511063 50.976479
NGC2844 140.450104 40.151218
NGC2893 142.570618 29.539986
NGC2903 143.04213 21.50083
NGC2916 143.739868 21.705259
NGC2966 145.547852 4.673152
NGC3021 147.737976 33.553467
NGC3041 148.27977 16.677694
NGC3044 148.420349 1.57965
NGC3049 148.706879 9.27164
NGC3055 148.825195 4.270082
NGC3094 150.357986 15.769937
NGC3169 153.562912 3.46612
NGC3184 154.57077 41.424381
NGC3198 154.979126 45.54969
NGC3246 156.674026 3.862108
NGC3254 157.333008 29.49144
NGC3277 158.231079 28.511728
NGC3279 158.678299 11.197244
NGC3294 159.06778 37.324589
NGC3310 159.691071 53.503304
NGC3320 159.902176 47.397964
NGC3344 160.879791 24.92222
NGC3359 161.653519 63.22364
NGC3370 161.76683 17.273697
NGC3380 162.050644 28.601772
NGC3423 162.809753 5.840101
NGC3437 163.148941 22.934116
NGC3445 163.647781 56.990685
NGC3448 163.663498 54.305229
NGC3471 164.787567 61.530453
NGC3485 165.009964 14.841549
NGC3486 165.099777 28.974819
NGC3495 165.317368 3.628037
NGC3504 165.796631 27.972435
NGC3507 165.85582 18.135344
NGC3521 166.452469 -0.0359
NGC3547 167.483124 10.720738
NGC3556 167.879028 55.674122
NGC3583 168.545746 48.318378
NGC3611 169.375656 4.555429
NGC3614 169.589142 45.748291
NGC3629 170.132568 26.963408
NGC3633 170.109222 3.585485
NGC3675 171.535767 43.585918
NGC3679 171.535828 -5.585975
NGC3687 172.002365 29.511044
NGC3705 172.531067 9.27663
NGC3835 176.020309 60.119682
NGC3888 176.893051 55.967258
NGC3976 178.990143 6.750834
NGC4030 180.098511 -1.099963
NGC4045 180.676086 1.976771
NGC4062 181.015976 31.895815
NGC4067 181.048157 10.854354
NGC4096 181.504837 47.478359
NGC4158 182.792358 20.17577
NGC4162 182.968613 24.123682
NGC4257 184.776993 5.725926
NGC4348 185.974838 -3.442911
NGC4388 186.445084 12.66207
NGC4414 186.612869 31.223545
NGC4454 187.211441 -1.93914
NGC4470 187.407501 7.824057
NGC4480 187.611588 4.246471
NGC4525 188.463303 30.277517
NGC4559 188.990372 27.959761
NGC4591 189.801834 6.012214
NGC4602 190.153534 -5.13301
NGC4604 190.187241 -5.302535
NGC4651 190.927612 16.393396
NGC4691 192.056961 -3.332918
NGC4725 192.610886 25.500759
NGC4736 192.721451 41.120152
NGC4747 192.941513 25.777317
NGC4771 193.338638 1.269171
NGC4772 193.371552 2.168344
NGC4779 193.461929 9.70992
NGC4791 193.683075 8.053164
NGC4793 193.669174 28.938766
NGC4799 193.814758 2.896605
NGC4800 193.657394 46.531139
NGC4904 195.244446 -0.027452
NGC4941 196.054764 -5.55162
NGC4961 196.448227 27.73411
NGC5005 197.734634 37.058941
NGC5014 197.87999 36.28212
NGC5033 198.364731 36.593651
NGC5055 198.955536 42.029289
NGC5089 199.913742 30.256323
NGC5117 200.73526 28.316532
NGC5205 202.515381 62.511528
NGC5240 203.980103 35.588268
NGC5248 204.383621 8.88506
NGC5301 206.602539 46.107407
NGC5303 206.937347 38.304531
NGC5334 208.226959 -1.114756
NGC5347 208.324387 33.490761
NGC5356 208.743423 5.333607
NGC5371 208.916763 40.461769
NGC5375 209.233276 29.164293
NGC5377 209.069458 47.235565
NGC5492 212.646622 19.612354
NGC5496 212.90773 -1.15872
NGC5523 213.717957 25.317614
NGC5526 213.473862 57.771317
NGC5560 215.018738 3.992653
NGC5584 215.599213 -0.387449
NGC5602 215.578476 50.501423
NGC5630 216.90242 41.257816
NGC5645 217.664169 7.275004
NGC5661 217.989166 6.250472
NGC5667 217.595367 59.469677
NGC5678 218.02327 57.921436
NGC5730 219.967453 42.74234
NGC5740 221.101761 1.679692
NGC5777 222.824158 58.97781
NGC5795 224.08284 49.400208
NGC5850 226.781982 1.54428
NGC5894 227.920563 59.808823
NGC5921 230.485672 5.07054
NGC5951 233.429459 15.007294
NGC5958 233.704681 28.655119
NGC5961 233.818588 30.86409
NGC5981 234.469437 59.393959
NGC5985 234.904541 59.331951
NGC6012 238.558105 14.60124
NGC6015 237.855133 62.310032
NGC6063 241.804016 7.979009
NGC6070 242.494522 0.709315
NGC6106 244.696701 7.411013
NGC6118 245.452591 -2.283422
NGC6155 246.534607 48.36692
NGC6181 248.087372 19.826603
NGC6207 250.765625 36.832424
NGC6339 259.2771 40.844959
NGC6368 261.798096 11.543621
NGC6384 263.101257 7.06027
NGC6555 271.954865 17.604898
NGC6675 279.360321 40.057709
NGC6757 286.263977 55.715137
NGC6764 287.068115 50.933094
NGC6796 290.378387 61.144833
NGC7137 327.054321 22.15958
NGC7177 330.171875 17.738117
NGC7217 331.968201 31.359255
NGC7241 333.957825 19.232361
NGC7328 339.37207 10.531584
NGC7339 339.445374 23.786671
NGC7347 339.984009 11.02756
NGC7416 343.923767 -5.495346
NGC7463 345.466583 15.981848
NGC7479 346.236115 12.322879
NGC7497 347.264282 18.177181
NGC7625 350.125549 17.225601
NGC7678 352.116211 22.421183
NGC7694 353.315674 -2.702838
NGC7714 354.058746 2.15502
NGC7716 354.131073 0.297313
NGC7742 356.06546 10.767097
NGC7743 356.088043 9.934042
NGC7814 0.81228 16.145229
PGC005363 21.638643 39.881031
PGC009485 37.381905 -3.212962
PGC058798 250.51297 -5.032629
PGC069448 340.062988 -2.424036
PGC2800919 323.974976 -3.148177
UGC00260 6.762131 11.583811
UGC01551 30.906231 24.075525
UGC02143 39.902344 36.081223
UGC02997 64.020348 8.180137
UGC03045 66.67392 20.407866
UGC03053 67.040306 21.655323
UGC03258 77.679207 0.408305
UGC03685 107.274811 61.59552
UGC04621 132.549164 35.076431
UGC04824 137.889893 51.254295
UGC04906 139.416351 52.99276
UGC05376 150.112793 3.374309
UGC05403 150.648163 19.177067
UGC05720 158.133148 54.400982
UGC06402 170.829742 -0.92244
UGC06517 173.01004 36.698124
UGC06879 178.604523 -2.319723
UGC07179 182.741882 63.91457
UGC08067 194.30069 -1.706808
UGC08658 205.16629 54.333004
UGC08693 206.118393 35.192299
UGC08756 207.649658 42.541439
UGC09665 225.385208 48.319904
UGC09703 226.359467 46.565308
UGC09741 227.139587 52.296146
UGC09977 235.498138 0.713232
UGC10043 237.171616 21.869387
UGC10288 243.603348 -0.20754
UGC10743 257.878113 7.994538
UGC10985 267.018494 14.741472
UGC12010 335.828033 5.53387
UGC12074 338.276215 8.097454
UGC12300 345.154968 12.782273
UGC12518 350.053253 7.932117
UGC12857 359.198029 1.355099
