IC0560,146.472656,-0.268221,0,0,0,1853,27.2,-22.10,0.59,-0.7,1.11,126.330851331
IC0676,168.165909,9.055736,0,0,0,1429,24.6,-22.27,0.11,-1.3,1.35,139.668905342
IC0782,185.404053,5.765672,0,0,0,2424,36.3,-22.02,0.09,2.7,1.35,94.6798216753
IC1024,217.863419,3.009107,0,0,0,1479,24.2,-21.85,0.13,-2.0,1.05,141.974879487
NGC0474,20.027901,3.415270,0,1,0,2315,30.9,-23.91,0.15,-2.0,1.52,111.215125372
NGC0502,20.731415,9.049169,0,0,0,2524,35.9,-23.05,0.17,-2.0,1.07,95.7342077332
NGC0509,20.850327,9.433469,0,0,0,2261,32.3,-21.89,0.20,-1.3,1.37,106.397802934
NGC0516,21.033607,9.551668,0,0,0,2437,34.7,-22.21,0.29,-1.5,1.16,99.0430996754
NGC0680,27.447035,21.970827,0,1,0,2928,37.5,-24.17,0.34,-4.0,1.16,91.6515265328
NGC0770,29.806850,18.954695,0,0,0,2543,36.7,-22.57,0.31,-4.2,0.94,93.6484022687
NGC1248,48.202328,-5.224674,0,0,0,2217,30.4,-22.90,0.27,-2.0,1.20,113.043013866
NGC1289,49.707592,-1.973354,0,0,0,2792,38.4,-23.46,0.37,-2.1,1.26,89.5044261224
NGC1665,72.071098,-5.427655,0,0,0,2745,37.5,-23.63,0.26,-1.8,1.50,91.6515265328
NGC2577,125.681137,22.553040,0,0,0,2062,30.8,-23.41,0.23,-3.0,1.15,111.575960325
NGC2679,132.887192,30.865419,0,0,0,2027,31.1,-22.81,0.14,-2.0,1.35,110.500409685
NGC2698,133.902222,-3.183882,0,0,0,1900,27.1,-23.32,0.08,-1.0,1.10,126.796594943
NGC2699,133.953415,-3.127507,1,3,0,1868,26.2,-22.72,0.08,-5.0,1.06,131.148048407
NGC2768,137.906265,60.037209,1,5,0,1353,21.8,-24.71,0.20,-4.4,1.80,157.584338297
NGC2852,140.810684,40.163879,0,0,0,1781,28.5,-22.18,0.06,1.0,0.85,120.573228781
NGC2880,142.394241,62.490620,1,1,0,1554,21.3,-22.98,0.14,-2.7,1.32,161.278137936
NGC3032,148.034119,29.236279,1,2,0,1562,21.4,-22.01,0.07,-1.9,1.12,160.525599362
NGC3156,153.171692,3.129320,1,3,0,1338,21.8,-22.15,0.15,-2.5,1.24,157.584338297
NGC3226,155.862549,19.898439,1,3,0,1315,22.9,-23.24,0.10,-4.8,1.49,150.024633863
NGC3248,156.939270,22.847170,0,0,0,1481,24.6,-22.43,0.09,-2.0,1.20,139.668905342
NGC3301,159.233459,21.882166,0,0,0,1339,22.8,-23.28,0.10,-0.4,1.30,150.68179603
NGC3377,161.926666,13.985640,1,10,0,690,10.9,-22.76,0.15,-4.8,1.55,314.509196819
NGC3379,161.956665,12.581630,1,15,0,918,10.3,-23.80,0.11,-4.8,1.60,332.719038532
NGC3384,162.070404,12.629300,1,10,0,733,11.3,-23.52,0.12,-2.7,1.51,303.434911954
NGC3400,162.689590,28.468929,0,0,0,1441,24.7,-21.82,0.08,0.7,1.23,139.104062462
NGC3412,162.722137,13.412142,1,5,0,860,11.0,-22.55,0.12,-2.0,1.49,311.665734464
NGC3414,162.817673,27.974968,1,1,0,1470,24.5,-23.98,0.11,-2.0,1.38,140.238351547
NGC3457,163.702591,17.621157,1,1,0,1148,20.1,-21.89,0.13,-5.0,1.13,170.891274683
NGC3458,164.006042,57.116970,0,0,0,1877,30.9,-23.12,0.04,-2.0,1.06,111.215125372
NGC3489,165.077454,13.901258,1,5,0,695,11.7,-22.99,0.07,-1.2,1.35,293.112154087
NGC3499,165.796280,56.221664,0,0,0,1535,26.4,-21.88,0.04,0.0,0.94,130.155455384
NGC3530,167.168411,57.230160,0,0,0,1894,31.2,-22.00,0.04,0.0,0.87,110.146484433
NGC3599,168.862305,18.110369,1,3,0,839,19.8,-22.22,0.09,-2.0,1.37,173.476175773
NGC3605,169.194260,18.017141,1,3,0,661,20.1,-21.83,0.09,-4.5,1.23,170.891274683
NGC3607,169.227737,18.051809,1,4,0,942,22.2,-24.74,0.09,-3.1,1.59,154.748850017
