NAME,RA,DEC,SBF,NED_D,VIRGO,VHel,D,M_K,A_B,Column1,log_RE
IC0560,146.4727,-0.268221,0,0,False,1853,27.2,-22.1,0.59,t.T-type,1.11
IC0676,168.1659,9.055736,0,0,False,1429,24.6,-22.27,0.11,t.T-type,1.35
IC0782,185.4041,5.765672,0,0,False,2424,36.3,-22.02,0.09,t.T-type,1.35
IC1024,217.8634,3.009107,0,0,False,1479,24.2,-21.85,0.13,t.T-type,1.05
NGC0474,20.0279,3.41527,0,1,False,2315,30.9,-23.91,0.15,t.T-type,1.52
NGC0502,20.73141,9.049169,0,0,False,2524,35.9,-23.05,0.17,t.T-type,1.07
NGC0509,20.85033,9.433469,0,0,False,2261,32.3,-21.89,0.2,t.T-type,1.37
NGC0516,21.03361,9.551668,0,0,False,2437,34.7,-22.21,0.29,t.T-type,1.16
NGC0680,27.44703,21.97083,0,1,False,2928,37.5,-24.17,0.34,t.T-type,1.16
NGC0770,29.80685,18.95469,0,0,False,2543,36.7,-22.57,0.31,t.T-type,0.94
NGC1665,72.0711,-5.427655,0,0,False,2745,37.5,-23.63,0.26,t.T-type,1.5
NGC2577,125.6811,22.55304,0,0,False,2062,30.8,-23.41,0.23,t.T-type,1.15
NGC2679,132.8872,30.86542,0,0,False,2027,31.1,-22.81,0.14,t.T-type,1.35
NGC2698,133.9022,-3.183882,0,0,False,1900,27.1,-23.32,0.08,t.T-type,1.1
NGC2699,133.9534,-3.127507,1,3,False,1868,26.2,-22.72,0.08,t.T-type,1.06
NGC2768,137.9063,60.03721,1,5,False,1353,21.8,-24.71,0.2,t.T-type,1.8
NGC2852,140.8107,40.16388,0,0,False,1781,28.5,-22.18,0.06,t.T-type,0.85
NGC2880,142.3942,62.49062,1,1,False,1554,21.3,-22.98,0.14,t.T-type,1.32
NGC3032,148.0341,29.23628,1,2,False,1562,21.4,-22.01,0.07,t.T-type,1.12
NGC3156,153.1717,3.12932,1,3,False,1338,21.8,-22.15,0.15,t.T-type,1.24
NGC3226,155.8625,19.89844,1,3,False,1315,22.9,-23.24,0.1,t.T-type,1.49
NGC3248,156.9393,22.84717,0,0,False,1481,24.6,-22.43,0.09,t.T-type,1.2
NGC3301,159.2335,21.88217,0,0,False,1339,22.8,-23.28,0.1,t.T-type,1.3
NGC3377,161.9267,13.98564,1,10,False,690,10.9,-22.76,0.15,t.T-type,1.55
NGC3379,161.9567,12.58163,1,15,False,918,10.3,-23.8,0.11,t.T-type,1.6
NGC3384,162.0704,12.6293,1,10,False,733,11.3,-23.52,0.12,t.T-type,1.51
NGC3400,162.6896,28.46893,0,0,False,1441,24.7,-21.82,0.08,t.T-type,1.23
NGC3412,162.7221,13.41214,1,5,False,860,11,-22.55,0.12,t.T-type,1.49
NGC3414,162.8177,27.97497,1,1,False,1470,24.5,-23.98,0.11,t.T-type,1.38
NGC3457,163.7026,17.62116,1,1,False,1148,20.1,-21.89,0.13,t.T-type,1.13
NGC3458,164.006,57.11697,0,0,False,1877,30.9,-23.12,0.04,t.T-type,1.06
NGC3489,165.0775,13.90126,1,5,False,695,11.7,-22.99,0.07,t.T-type,1.35
NGC3499,165.7963,56.22166,0,0,False,1535,26.4,-21.88,0.04,t.T-type,0.94
NGC3530,167.1684,57.23016,0,0,False,1894,31.2,-22,0.04,t.T-type,0.87
NGC3599,168.8623,18.11037,1,3,False,839,19.8,-22.22,0.09,t.T-type,1.37
NGC3605,169.1943,18.01714,1,3,False,661,20.1,-21.83,0.09,t.T-type,1.23
NGC3607,169.2277,18.05181,1,4,False,942,22.2,-24.74,0.09,t.T-type,1.59
NGC3608,169.2457,18.14853,1,4,False,1226,22.3,-23.65,0.09,t.T-type,1.47
NGC3613,169.6505,57.99992,1,3,False,2051,28.3,-24.26,0.05,t.T-type,1.42
NGC3619,169.8401,57.75768,0,0,False,1560,26.8,-23.57,0.08,t.T-type,1.42
NGC3626,170.0158,18.35679,1,1,False,1486,19.5,-23.3,0.08,t.T-type,1.41
NGC3630,170.0708,2.96417,0,0,False,1499,25,-23.16,0.18,t.T-type,1.1
NGC3640,170.2785,3.234764,1,4,False,1298,26.3,-24.6,0.19,t.T-type,1.49
NGC3641,170.2866,3.194489,1,1,False,1780,25.9,-21.85,0.18,t.T-type,0.97
NGC3648,170.6312,39.87697,0,0,False,1970,31.9,-23.06,0.09,t.T-type,1.12
NGC3658,170.9927,38.56242,0,0,False,2039,32.7,-23.45,0.09,t.T-type,1.28
NGC3665,171.1818,38.76279,0,0,False,2069,33.1,-24.92,0.08,t.T-type,1.49
NGC3674,171.6109,57.04829,0,0,False,2055,33.4,-23.23,0.06,t.T-type,1.05
NGC3757,174.2618,58.41565,0,0,False,1245,22.6,-22.15,0.06,t.T-type,0.95
NGC3796,175.1298,60.29896,0,0,False,1250,22.7,-21.84,0.06,t.T-type,1.06
NGC3838,176.0572,57.9481,0,0,False,1308,23.5,-22.52,0.05,t.T-type,1.04
NGC3945,178.3072,60.67556,0,0,False,1281,23.2,-24.31,0.12,t.T-type,1.45
NGC3998,179.484,55.45356,1,2,False,1048,13.7,-23.33,0.07,t.T-type,1.3
NGC4026,179.8549,50.96169,1,2,False,985,13.2,-23.03,0.09,t.T-type,1.31
NGC4036,180.362,61.8957,0,0,False,1385,24.6,-24.4,0.1,t.T-type,1.46
NGC4111,181.763,43.06539,1,1,False,792,14.6,-23.27,0.06,t.T-type,1.08
NGC4119,182.0402,10.37872,0,0,True,1656,16.5,-22.6,0.12,t.T-type,1.6
NGC4143,182.4004,42.53422,1,2,False,946,15.5,-23.1,0.05,t.T-type,1.39
NGC4150,182.6402,30.40149,1,4,False,208,13.4,-21.65,0.08,t.T-type,1.2
NGC4179,183.2171,1.299673,0,0,True,1300,16.5,-23.18,0.14,t.T-type,1.3
NGC4191,183.4599,7.200842,0,0,False,2646,39.2,-23.1,0.09,t.T-type,1.06
NGC4203,183.7709,33.19724,1,2,False,1087,14.7,-23.44,0.05,t.T-type,1.47
NGC4215,183.9771,6.401132,0,0,False,2011,31.5,-23.43,0.07,t.T-type,1.18
NGC4249,184.4977,5.59872,0,0,False,2618,38.7,-21.98,0.09,t.T-type,1.1
NGC4255,184.7341,4.785923,0,0,False,1995,31.2,-22.99,0.09,t.T-type,1.1
NGC4259,184.8425,5.376242,0,0,False,2497,37.2,-22.19,0.08,t.T-type,0.89
NGC4261,184.8469,5.82471,1,5,False,2212,30.8,-25.18,0.08,t.T-type,1.58
NGC4264,184.8991,5.846804,0,0,False,2518,37.5,-23,0.08,t.T-type,1.14
NGC4268,184.9468,5.28365,0,0,False,2034,31.7,-23.05,0.08,t.T-type,1.2
NGC4270,184.956,5.463371,0,0,False,2331,35.2,-23.69,0.08,t.T-type,1.21
NGC4278,185.0283,29.28062,1,9,False,620,15.6,-23.8,0.13,t.T-type,1.5
NGC4281,185.0897,5.38643,0,1,False,2671,24.4,-24.01,0.09,t.T-type,1.34
NGC4283,185.0866,29.3109,1,3,False,1056,15.3,-21.8,0.11,t.T-type,1.09
NGC4324,185.7757,5.250488,0,0,True,1665,16.5,-22.61,0.1,t.T-type,1.3
NGC4339,185.8956,6.081713,1,3,True,1266,16,-22.49,0.11,t.T-type,1.48
NGC4342,185.9126,7.053936,0,0,True,761,16.5,-22.07,0.09,t.T-type,0.82
NGC4346,185.8664,46.99388,1,1,False,832,13.9,-22.55,0.05,t.T-type,1.29
NGC4365,186.1176,7.31752,2,13,False,1243,23.3,-25.21,0.09,t.T-type,1.72
NGC4382,186.3502,18.19108,2,7,True,746,17.9,-25.13,0.13,t.T-type,1.82
NGC4494,187.8501,25.77498,1,9,False,1342,16.6,-24.11,0.09,t.T-type,1.69
NGC4526,188.5126,7.69914,1,5,True,617,16.4,-24.62,0.1,t.T-type,1.65
NGC4570,189.2225,7.246663,2,1,True,1787,17.1,-23.48,0.09,t.T-type,1.3
NGC4612,190.3865,7.314782,2,1,True,1775,16.6,-22.55,0.11,t.T-type,1.4
NGC4623,190.5446,7.676934,2,1,True,1807,17.4,-21.74,0.1,t.T-type,1.31
NGC4624,191.2748,3.055684,0,0,True,912,16.5,-23.67,0.1,t.T-type,1.64
NGC4636,190.7078,2.68778,1,11,False,930,14.3,-24.36,0.12,t.T-type,1.95
NGC4643,190.8339,1.978399,0,0,True,1333,16.5,-23.69,0.13,t.T-type,1.38
NGC4684,191.8229,-2.727538,1,1,False,1560,13.1,-22.21,0.12,t.T-type,1.32
NGC4694,192.0629,10.98362,0,0,True,1171,16.5,-22.15,0.17,t.T-type,1.47
NGC4710,192.4123,15.16549,0,0,True,1102,16.5,-23.53,0.13,t.T-type,1.48
NGC4733,192.7783,10.9121,1,1,True,925,14.5,-21.8,0.09,t.T-type,1.52
NGC4753,193.0921,-1.19969,1,3,False,1163,22.9,-25.09,0.14,t.T-type,1.69
NGC4754,193.0732,11.31366,2,3,True,1351,16.1,-23.64,0.14,t.T-type,1.5
NGC4762,193.2335,11.2308,0,2,False,986,22.6,-24.48,0.09,t.T-type,1.64
NGC5173,202.1053,46.59157,0,0,False,2424,38.4,-22.88,0.12,t.T-type,1.01
NGC5198,202.5475,46.67083,0,0,False,2519,39.6,-24.1,0.1,t.T-type,1.38
NGC5308,206.7516,60.97304,0,6,False,1998,31.5,-24.13,0.08,t.T-type,1.25
NGC5322,207.3133,60.19041,1,5,False,1780,30.3,-25.26,0.06,t.T-type,1.6
NGC5342,207.8579,59.86301,0,0,False,2189,35.5,-22.61,0.05,t.T-type,0.97
NGC5353,208.3614,40.28312,0,0,False,2198,35.2,-25.11,0.05,t.T-type,1.3
NGC5355,208.4398,40.33879,0,0,False,2344,37.1,-22.4,0.05,t.T-type,1.06
