#NAME,RA,DEC,SBF,NED_D,VIRGO,VHel,D,M_K,A_B,T-type,log_RE,DA
IC0598,153.202423,43.145546,0,0,0,2256,35.3,-22.60,0.06,-0.1,1.02,97.3605553632
IC0719,175.077042,9.009861,0,0,0,1833,29.4,-22.70,0.22,-2.0,1.10,116.885100391
IC3631,189.950195,12.973927,0,0,0,2822,42.0,-22.01,0.17,-1.3,1.13,81.8356518962
NGC0448,18.818876,-1.626105,1,1,0,1908,29.5,-23.02,0.26,-2.5,1.05,116.489183455
NGC0524,21.198778,9.538793,1,10,0,2403,23.3,-24.71,0.36,-1.2,1.64,147.452288891
NGC0525,21.220442,9.703240,0,0,0,2139,30.7,-21.86,0.38,-2.0,1.06,111.93914351
NGC0661,26.060976,28.705988,0,1,0,3815,30.6,-23.19,0.30,-4.4,1.12,112.304697917
NGC0821,32.088123,10.994870,1,4,0,1718,23.4,-23.99,0.48,-4.8,1.60,146.822918539
NGC0936,36.906090,-1.156280,1,4,0,1429,22.4,-24.85,0.15,-1.2,1.72,153.369004715
NGC1023,40.100052,39.063251,1,8,0,602,11.1,-24.01,0.26,-2.7,1.68,308.873089448
NGC1121,42.663387,-1.734040,0,0,0,2558,35.3,-22.70,0.29,-1.8,0.87,97.3605553632
NGC1222,47.236446,-2.955212,0,0,0,2422,33.3,-22.71,0.26,-3.0,1.10,103.204622817
NGC1266,49.003120,-2.427370,0,0,0,2170,29.9,-22.93,0.43,-2.1,1.31,114.931968558
NGC2481,119.307182,23.767693,0,0,0,2157,32.0,-23.38,0.28,0.4,1.02,107.394636495
NGC2549,124.743111,57.803108,1,1,0,1051,12.3,-22.43,0.28,-2.0,1.28,278.878241483
NGC2592,126.783669,25.970339,1,1,0,1979,25.0,-22.88,0.25,-4.8,1.09,137.436602558
NGC2594,126.821609,25.878935,0,0,0,2362,35.1,-22.36,0.24,0.0,0.82,97.9150172296
NGC2685,133.894791,58.734409,0,0,0,875,16.7,-22.78,0.27,-1.0,1.41,205.607589437
NGC2695,133.612778,-3.067101,1,3,0,1833,31.5,-23.64,0.08,-2.1,1.21,109.098177867
NGC2764,137.072983,21.443447,0,0,0,2706,39.6,-23.19,0.17,-2.0,1.09,86.7933411944
NGC2778,138.101639,35.027424,1,1,0,2025,22.3,-22.23,0.09,-4.8,1.20,154.055839751
NGC2824,139.759277,26.269999,0,0,0,2758,40.7,-22.93,0.14,-2.0,0.86,84.44853189
NGC2859,141.077286,34.513378,0,0,0,1690,27.0,-24.13,0.09,-1.2,1.43,127.2657838
NGC2950,145.646317,58.851219,1,1,0,1322,14.5,-22.93,0.07,-2.0,1.19,236.711173742
NGC2962,145.224609,5.165820,0,3,0,1967,34.0,-24.01,0.25,-1.1,1.39,101.081059074
NGC2974,145.638611,-3.699116,1,3,0,1887,20.9,-23.62,0.23,-4.2,1.58,164.360143315
NGC3073,150.216843,55.618935,1,1,0,1173,32.8,-21.78,0.05,-2.8,1.13,104.776897217
NGC3098,150.569458,24.711092,0,0,0,1397,23.0,-22.72,0.16,-1.5,1.12,149.37317532
NGC3182,154.887558,58.205818,0,0,0,2118,34.0,-23.19,0.05,0.4,1.32,101.081059074
NGC3193,154.603683,21.893978,1,3,0,1381,33.1,-24.63,0.11,-4.8,1.42,103.827837692
NGC3230,155.933090,12.567883,0,0,0,2795,40.8,-24.18,0.16,-1.8,1.26,84.2416331463
NGC3245,156.826523,28.507435,1,1,0,1326,20.3,-23.69,0.11,-2.1,1.40,169.210348347
NGC3522,166.668549,20.085621,0,1,0,1228,25.5,-21.67,0.10,-4.9,1.01,134.744553954
NGC3595,168.856461,47.447147,0,0,0,2177,34.7,-23.28,0.09,-3.3,1.15,99.0430996754
NGC3610,169.605316,58.786247,1,4,0,1707,20.8,-23.69,0.04,-4.2,1.20,165.149124016
NGC3694,172.225571,35.413857,0,0,0,2243,35.2,-22.35,0.10,-5.0,1.02,97.6369993436
NGC3941,178.230667,36.986378,1,2,0,930,11.9,-23.06,0.09,-2.0,1.40,288.209145544
NGC4078,181.198456,10.595537,0,0,0,2546,38.1,-22.99,0.11,-2.0,0.92,90.2088631711
NGC4168,183.071808,13.205354,0,1,0,2286,30.9,-24.03,0.16,-4.8,1.48,111.215125372
NGC4233,184.282043,7.624434,0,1,0,2306,33.9,-23.88,0.10,-2.0,1.19,101.3790607
NGC4251,184.534607,28.175299,1,1,0,1066,19.1,-23.68,0.10,-1.9,1.29,179.822554817
NGC4521,188.198853,63.939293,0,0,0,2511,39.7,-23.92,0.08,-0.1,1.21,86.5748107094
NGC4690,191.981323,-1.655975,0,0,0,2765,40.2,-22.96,0.13,-3.0,1.25,85.4984563509
NGC4697,192.149612,-5.800850,1,8,0,1252,11.4,-23.93,0.13,-4.4,1.79,300.786825302
NGC4803,193.890289,8.240547,0,0,0,2645,39.4,-22.28,0.13,0.0,0.94,87.2337279065
NGC5103,200.125229,43.084015,0,0,0,1273,23.4,-22.36,0.08,0.0,1.02,146.822918539
NGC5273,205.534943,35.654240,1,2,0,1085,16.1,-22.37,0.04,-1.9,1.57,213.250694132
NGC5473,211.180176,54.892620,0,0,0,2022,33.2,-24.25,0.05,-2.7,1.32,103.515292528
NGC5475,211.301437,55.741802,0,0,0,1671,28.6,-22.88,0.05,1.0,1.22,120.15198791
NGC5481,211.671722,50.723320,0,2,0,1989,25.8,-22.68,0.08,-3.9,1.35,133.179333192
